UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
73,M00073,M,302.8,309.4,2243,9.6,44,0,0,0,0,0,0
74,M00074,L,299.8,310.9,1895,33.8,214,0,0,0,0,0,0
75,M00075,L,295.3,309.7,2434,37.4,219,0,0,0,0,0,0
76,M00076,M,300.2,310.0,1681,41.8,247,0,0,0,0,0,0
77,M00077,L,301.2,310.6,2569,30.3,27,0,0,0,0,0,0
78,H00078,L,300.6,310.9,2531,56.7,59,0,0,0,0,0,0
79,H00079,M,299.1,309.4,1507,47.8,4,0,0,0,0,0,0
80,M00080,L,296.1,308.6,2565,28.9,145,0,0,1,0,0,0
81,H00081,L,298.7,309.0,1525,33.9,221,0,0,0,0,0,0
82,L00082,L,298.9,311.4,2359,33.1,215,0,0,0,0,0,0
83,M00083,L,298.7,310.1,2478,29.3,164,0,0,0,0,0,0
84,L00084,L,301.2,308.8,1213,51.5,207,0,0,0,0,0,0
85,L00085,M,299.3,309.1,1327,29.3,220,0,0,0,0,0,0
86,M00086,M,302.8,311.2,1384,41.0,221,0,0,0,0,0,0
87,H00087,L,299.5,310.1,2014,34.8,24,0,0,0,0,0,0
88,L00088,M,302.4,308.3,1911,38.0,165,0,0,0,0,0,0
89,M00089,L,300.4,308.9,1189,50.3,230,0,0,0,0,0,0
90,L00090,L,300.5,311.2,2460,43.2,128,0,0,0,0,0,0
91,L00091,M,298.6,309.4,2432,43.6,167,0,0,0,1,0,0
92,L00092,M,297.3,312.1,2640,43.2,230,0,0,0,0,0,0
93,L00093,M,299.9,311.9,2413,44.8,182,0,0,0,0,0,0
94,H00094,M,303.4,311.5,2676,29.5,230,0,0,0,0,0,0
95,L00095,M,299.1,310.5,2757,33.2,94,0,0,0,0,0,0
96,L00096,M,298.8,311.0,2715,43.7,166,0,0,0,0,0,0
97,L00097,L,299.7,309.9,1500,32.8,94,0,0,0,0,0,0
98,H00098,M,303.5,310.0,1690,36.5,224,0,0,0,0,0,0
99,L00099,H,301.6,308.8,2115,42.7,75,0,0,0,0,0,0
100,L00100,M,302.4,310.0,2485,51.0,152,0,0,0,0,0,0
101,H00101,L,296.0,308.7,2111,48.5,246,0,0,0,0,0,0
102,H00102,L,298.4,310.0,2772,56.0,150,0,0,0,0,0,0
103,H00103,L,298.4,308.8,2281,41.5,170,0,0,0,0,0,0
104,L00104,L,302.3,309.1,1980,41.2,124,0,0,0,0,0,0
105,H00105,H,301.3,307.4,1179,33.4,47,0,0,0,0,0,0
106,H00106,L,302.1,309.2,1458,45.5,219,1,0,0,0,0,0
107,L00107,L,296.2,309.3,2659,52.5,224,0,0,0,0,0,0
108,H00108,H,302.2,309.7,1195,34.4,37,0,0,0,0,0,0
109,L00109,L,301.3,311.2,2532,44.5,89,0,0,0,0,0,0
110,M00110,L,298.2,309.9,1286,51.2,23,0,0,0,0,0,0
111,H00111,L,299.6,310.9,1924,31.7,132,0,0,0,0,0,0
112,M00112,M,298.2,311.0,2748,45.5,235,0,0,0,0,0,0
113,L00113,L,299.8,311.4,2604,46.1,187,0,0,0,0,0,0
114,H00114,H,300.9,309.1,1705,17.7,144,0,0,0,0,0,0
115,L00115,L,302.8,308.8,2424,34.6,236,0,0,0,0,0,0
116,M00116,L,298.1,309.9,1582,28.8,164,0,0,0,0,0,0
117,L00117,L,299.1,309.0,1996,34.9,14,0,0,0,0,0,0
118,H00118,M,297.8,309.8,1356,35.8,193,0,0,0,0,0,0
119,H00119,L,301.5,309.1,1595,39.6,225,0,0,0,0,0,0
120,M00120,L,296.8,308.8,2232,49.1,19,0,0,0,0,0,0
121,L00121,L,300.4,310.4,2379,52.2,157,0,0,0,0,0,0
122,H00122,M,297.5,311.9,1480,41.7,143,0,0,0,0,0,0
123,M00123,L,300.1,309.7,1745,53.0,43,0,0,0,0,0,0
124,H00124,M,302.3,310.3,1674,48.3,186,0,0,0,0,0,0
125,H00125,M,299.0,310.1,1898,39.1,131,0,0,0,0,0,0
126,L00126,L,300.4,310.0,2331,54.7,158,0,0,0,0,0,0
127,H00127,L,298.2,311.4,2277,40.7,153,0,0,0,0,0,0
128,L00128,L,299.8,309.7,1508,42.5,246,0,0,0,0,0,0
129,H00129,L,296.9,306.8,2001,30.3,40,0,0,0,0,0,0
130,M00130,L,301.4,309.1,2538,43.6,75,0,0,0,0,0,0
131,H00131,L,299.2,310.1,1704,44.2,129,0,0,0,0,0,0
132,L00132,L,299.6,309.9,2352,48.7,7,0,0,0,0,0,0
133,L00133,L,300.1,309.8,1507,37.7,77,0,0,0,0,0,0
134,M00134,L,296.1,309.5,2437,32.7,151,0,0,0,0,0,0
135,H00135,L,298.6,310.1,1904,44.1,106,0,0,0,0,0,0
136,H00136,M,300.3,312.1,1698,47.4,39,0,0,0,0,0,0
137,M00137,H,299.7,309.7,2526,36.6,104,0,0,0,0,0,0
138,H00138,M,304.4,312.2,2537,31.6,152,0,0,0,0,0,0
139,H00139,L,302.5,310.5,2423,35.9,61,0,0,0,0,0,0
140,L00140,L,300.3,309.3,2293,55.9,57,0,0,0,0,0,0
141,H00141,L,298.0,310.9,2365,30.3,70,0,0,0,0,0,0
142,H00142,L,299.0,307.6,1956,30.0,159,0,0,0,0,0,0
143,M00143,L,301.3,310.0,2235,58.7,116,0,0,0,0,0,0
144,M00144,M,300.2,310.5,2383,38.4,86,0,0,0,0,0,0
145,L00145,L,302.6,310.5,1201,27.8,173,0,0,0,0,0,0
146,H00146,L,300.1,310.6,1462,25.9,102,0,0,0,0,0,0
147,H00147,H,300.2,310.7,2452,45.7,153,0,0,0,0,0,0
148,H00148,L,303.2,310.3,1537,43.4,41,0,0,0,0,0,0
149,L00149,L,297.8,310.7,2375,45.8,6,0,0,0,0,0,0
150,L00150,L,303.5,309.4,1288,31.4,55,0,0,0,0,0,0
151,M00151,L,301.5,311.2,1168,28.1,174,0,0,0,0,0,0
152,L00152,M,306.5,309.5,1470,45.4,177,0,0,0,0,0,0
153,H00153,L,298.6,311.2,1244,29.5,172,0,0,0,0,0,0
154,H00154,L,303.3,310.0,1279,38.4,67,0,0,0,0,0,0
155,L00155,M,300.3,310.2,2278,31.1,43,0,0,0,0,0,0
156,H00156,M,299.6,310.9,2094,56.5,152,0,0,0,0,0,0
157,H00157,H,300.6,311.5,2370,49.2,51,0,0,0,0,0,0
158,L00158,M,300.3,310.0,1409,66.3,145,0,0,1,0,0,0
159,L00159,L,298.4,310.2,2136,46.4,134,0,0,0,0,0,0
160,H00160,L,299.7,307.4,2212,43.1,21,0,0,0,0,0,0
161,H00161,L,300.6,309.1,2674,46.8,3,0,0,0,0,0,0
162,H00162,L,299.1,308.5,1966,24.3,156,0,0,0,0,0,0
163,M00163,M,301.1,309.6,2304,22.2,215,0,0,0,0,0,0
164,M00164,M,299.4,309.3,1303,47.1,117,0,0,0,0,0,0
165,M00165,L,300.9,309.2,1702,34.2,167,0,0,0,0,0,0
166,L00166,L,300.7,309.0,2494,40.0,179,0,0,0,0,0,0
167,M00167,L,300.9,310.5,1271,23.7,113,0,0,0,1,0,0
168,L00168,H,297.3,308.2,1906,34.8,59,0,0,0,0,0,0
169,L00169,L,302.2,308.9,2317,36.4,229,0,0,0,0,0,0
170,M00170,M,298.3,310.0,2359,49.2,168,0,0,0,0,0,0
171,M00171,M,299.6,311.0,1696,41.3,203,0,0,0,0,0,0
172,M00172,H,298.7,309.1,2384,26.2,72,0,0,0,0,0,0
173,H00173,M,300.1,311.1,1549,34.8,14,0,0,0,0,0,0
174,M00174,M,299.8,307.3,2206,51.1,122,0,0,0,0,0,0
175,H00175,L,301.3,310.0,2332,35.5,76,0,0,0,0,0,0
176,L00176,L,300.1,310.3,1555,49.0,56,0,0,0,0,0,0
177,H00177,L,299.2,309.0,1513,34.5,93,0,0,0,0,0,0
178,M00178,L,296.4,308.7,2129,43.3,98,0,0,0,0,0,0
179,L00179,H,301.8,310.1,1312,40.6,162,0,0,0,0,0,0
180,L00180,L,301.0,310.0,1913,38.9,89,0,0,0,0,0,0
181,L00181,M,301.9,309.2,1700,26.9,18,0,0,0,0,0,0
182,H00182,L,299.6,309.7,1280,23.9,148,0,0,0,0,0,0
183,M00183,L,300.7,309.4,2269,42.4,212,0,0,0,0,0,0
184,L00184,H,298.7,311.3,1802,40.4,140,0,0,0,0,0,0
185,L00185,L,298.5,310.7,2157,34.7,20,0,0,0,0,0,0
186,L00186,L,299.4,310.2,1419,31.3,87,0,0,0,0,0,0
187,H00187,L,301.8,311.9,2854,53.4,25,0,0,0,0,0,0
188,H00188,M,299.5,311.0,2053,49.9,235,0,0,0,0,0,0
189,M00189,L,299.9,311.2,2540,47.5,55,1,0,0,0,0,0
190,H00190,L,300.5,311.6,1936,56.1,30,0,0,0,0,0,0
191,L00191,L,300.1,309.8,1514,29.0,29,0,0,0,0,0,0
192,M00192,M,302.0,308.8,2607,42.8,23,0,0,0,0,0,0
193,L00193,M,298.5,308.2,1760,26.1,95,0,0,0,0,0,0
194,L00194,L,300.2,310.7,2234,36.0,157,0,0,0,0,0,0
195,H00195,L,300.9,309.0,2081,36.9,120,0,0,0,0,0,0
196,M00196,M,296.7,313.3,2496,33.2,153,0,0,0,0,0,0
197,H00197,L,300.5,309.2,1738,39.6,101,0,0,0,0,0,0
198,H00198,L,302.7,309.0,1357,61.5,81,0,0,0,0,0,0
199,M00199,L,299.3,310.8,1497,42.6,104,0,0,0,0,0,0
200,L00200,M,297.8,310.8,1194,49.8,53,0,0,0,0,0,0
201,L00201,L,300.9,311.8,1496,41.0,112,0,0,0,0,0,0
202,M00202,L,300.4,309.8,1863,23.3,123,0,0,0,0,0,0
203,L00203,M,303.0,311.2,1796,33.7,75,0,0,0,0,0,0
204,M00204,M,300.9,309.8,1518,34.6,20,0,0,0,0,0,0
205,M00205,L,298.1,310.5,1683,39.6,150,0,0,0,0,0,0
206,H00206,L,298.0,309.8,1507,46.0,125,0,0,0,0,0,0
207,M00207,M,301.7,311.9,1644,48.6,27,0,0,0,0,0,0
208,H00208,H,300.7,312.3,2054,43.5,123,0,0,0,0,0,0
209,L00209,M,299.9,308.8,1209,50.6,80,0,0,0,0,0,0
210,L00210,L,300.3,311.3,1447,33.5,78,0,0,0,0,0,0
211,L00211,L,300.9,309.1,1208,45.6,22,0,0,0,0,0,0
212,L00212,M,300.7,311.2,2597,45.0,186,0,0,0,0,0,0
213,H00213,M,297.0,311.6,1380,49.0,180,0,0,0,0,0,0
214,L00214,L,302.4,309.0,1946,32.7,52,1,0,0,0,0,0
215,M00215,L,302.6,308.8,1597,58.4,161,0,0,0,0,0,0
216,M00216,M,303.6,309.5,1762,32.1,219,0,0,0,0,0,0
217,M00217,L,303.2,311.2,2799,35.4,67,0,0,1,0,0,0
218,H00218,L,302.8,310.5,1517,47.5,104,0,0,0,0,0,0
219,L00219,L,299.4,309.8,1703,24.3,11,0,0,0,0,0,0
220,L00220,L,300.6,310.7,2202,30.7,129,0,0,0,0,0,0
221,L00221,L,302.3,309.7,2137,40.9,24,0,0,0,0,0,0
222,H00222,M,296.4,310.1,1426,21.8,87,0,0,0,0,0,0
223,M00223,L,299.6,310.5,1758,32.0,94,0,0,0,0,0,0
224,M00224,L,296.6,310.5,1852,40.9,124,0,0,0,0,0,0
225,L00225,L,300.6,311.7,2552,31.8,195,0,0,0,0,0,0
226,M00226,L,302.5,308.8,1980,57.8,171,0,0,0,0,0,0
227,M00227,L,300.0,310.9,1187,47.3,161,0,0,0,0,0,0
228,H00228,L,298.9,309.1,2380,44.5,133,0,0,0,0,0,0
229,H00229,M,300.6,309.6,2825,41.4,94,0,0,0,0,0,0
230,H00230,L,300.8,309.8,1438,47.7,38,0,0,0,0,0,0
231,H00231,L,301.0,309.6,2124,40.6,126,0,0,0,0,0,0
232,L00232,L,297.6,308.7,2666,30.1,177,0,0,0,0,0,0
233,H00233,L,300.5,309.5,2398,43.4,23,0,0,0,0,0,0
234,M00234,M,300.4,310.3,1601,32.8,216,0,0,0,0,0,0
235,L00235,L,301.9,309.9,1177,44.3,4,0,0,0,0,0,0
236,M00236,H,299.8,311.5,1851,43.0,53,0,0,0,0,0,0
237,M00237,L,303.9,309.9,1906,33.7,53,0,0,1,0,0,0
238,M00238,M,300.2,310.0,1483,60.6,9,0,0,0,0,0,0
239,H00239,L,299.0,310.2,2546,52.7,81,0,0,0,0,0,0
240,H00240,M,298.0,309.9,1710,39.5,220,0,0,0,0,0,0
241,L00241,L,299.0,310.5,2474,45.1,74,0,0,0,0,0,0
242,L00242,L,298.4,309.5,1353,43.3,240,0,0,0,0,0,0
243,H00243,M,299.7,308.8,1528,34.6,93,0,0,0,0,0,0
244,M00244,M,303.4,309.9,2051,45.7,106,0,0,0,0,0,0
245,L00245,L,297.1,310.4,2288,38.0,68,0,0,0,0,0,0
246,H00246,L,297.2,310.2,2193,26.0,5,0,0,0,1,0,0
247,H00247,L,299.5,309.1,2157,34.9,205,0,0,0,0,0,0
248,H00248,M,297.3,310.2,2770,34.9,15,0,0,0,0,0,0
249,M00249,L,298.0,310.7,2061,20.7,59,0,0,0,0,0,0
250,H00250,L,300.7,310.2,1545,53.3,141,0,0,0,0,0,0
251,H00251,M,299.9,309.3,2225,34.7,32,0,0,0,0,0,0
252,H00252,M,300.9,310.1,2833,36.2,247,0,0,0,0,0,0
253,H00253,M,301.2,311.7,2359,62.5,100,0,0,0,0,0,0
254,L00254,M,302.7,309.0,2858,30.3,196,0,0,0,0,0,0
255,L00255,M,300.8,311.1,1502,39.1,167,0,0,0,0,0,0
256,H00256,L,302.4,307.8,2287,24.1,205,0,0,0,0,0,0
257,M00257,L,300.2,309.5,1663,33.6,39,0,0,0,0,0,0
258,L00258,M,300.8,309.6,1695,34.8,8,0,0,0,0,0,0
259,H00259,L,300.8,311.1,1431,51.2,90,0,0,0,0,0,0
260,L00260,H,300.6,311.8,1822,31.7,243,0,0,0,0,0,0
261,L00261,L,300.4,311.1,2343,48.5,194,0,0,0,0,0,0
262,M00262,L,303.6,310.5,1755,67.0,201,0,0,0,0,0,0
263,H00263,H,301.4,311.1,1909,57.5,47,0,0,0,0,0,0
264,H00264,M,299.1,308.6,2494,11.5,202,0,0,0,0,0,0
265,M00265,L,304.7,310.9,1515,44.9,225,0,0,0,0,0,0
266,M00266,M,299.2,308.9,1669,55.7,192,0,0,0,0,0,0
267,H00267,M,300.0,309.3,1259,31.7,9,0,0,0,0,0,0
268,H00268,L,298.3,310.4,2055,39.1,244,0,0,0,0,0,0
269,M00269,L,301.4,308.8,2717,36.9,5,0,0,0,0,0,0
270,L00270,M,303.4,311.2,2736,49.5,199,0,0,0,0,0,0
271,L00271,M,297.0,310.0,2102,35.2,61,0,0,0,0,0,0
272,M00272,L,299.4,308.7,1829,59.1,30,0,0,0,0,0,0
273,L00273,M,302.2,311.5,2751,52.3,5,0,0,0,0,0,0
274,M00274,M,297.9,309.7,2716,24.3,94,0,0,0,0,0,0
275,L00275,L,301.1,309.8,2108,24.4,33,0,0,0,0,0,0
276,L00276,M,297.4,309.8,1473,42.1,231,0,0,0,0,0,0
277,H00277,L,300.8,307.1,1161,37.9,244,0,0,0,0,0,0
278,H00278,L,300.2,311.3,2196,39.2,92,0,0,0,0,0,0
279,L00279,M,306.6,310.0,2334,34.3,66,0,0,0,0,0,0
280,L00280,M,301.5,310.2,1413,29.4,189,0,0,0,0,0,0
281,H00281,M,295.7,310.7,1529,40.3,213,0,0,0,0,0,0
282,H00282,L,299.9,309.7,1229,44.7,11,0,0,0,0,0,0
283,H00283,L,301.6,308.9,2444,50.4,37,0,0,0,0,0,0
284,M00284,L,299.2,309.1,1574,52.0,210,0,0,0,0,0,0
285,L00285,L,299.1,310.9,1765,40.4,134,1,0,1,0,0,0
286,H00286,L,299.2,310.0,1585,43.6,63,0,0,0,0,0,0
287,L00287,L,301.1,311.0,2071,23.2,214,0,0,0,0,0,0
288,M00288,L,297.5,311.2,2251,47.2,118,1,0,0,0,0,0
289,M00289,M,298.9,310.9,2697,53.4,119,0,0,0,0,0,0
290,H00290,L,302.1,311.3,1944,46.6,122,0,0,0,0,0,0
291,M00291,L,299.0,309.3,2284,39.5,246,0,0,0,0,0,0
292,L00292,L,298.9,310.6,2140,30.4,76,0,0,0,0,0,0
293,H00293,L,297.2,309.5,1601,30.4,131,1,0,0,0,0,0
294,L00294,L,301.3,308.9,2587,38.1,20,1,0,1,0,0,0
295,L00295,L,300.9,310.5,1409,44.6,77,0,0,0,0,0,0
296,M00296,M,301.9,310.8,1971,19.3,163,0,0,0,0,0,0
297,M00297,L,299.8,309.7,2524,26.8,241,0,0,0,0,0,0
298,M00298,M,300.6,310.0,1857,49.4,134,0,0,0,0,0,0
299,M00299,H,300.6,310.7,2001,57.3,76,0,0,0,0,0,0
300,M00300,M,297.2,309.4,2357,38.3,162,0,0,0,0,0,0
301,H00301,L,304.7,310.8,1807,46.6,124,1,0,0,0,0,0
302,L00302,H,302.0,309.1,1324,38.8,176,0,0,0,0,0,0
303,L00303,L,300.2,310.4,1861,41.2,96,0,0,0,0,0,0
304,L00304,L,299.6,308.8,2791,29.0,120,0,0,0,0,0,0
305,L00305,M,302.6,311.3,2559,45.6,138,0,0,0,0,0,0
306,M00306,M,300.2,310.7,1734,32.6,242,0,0,0,0,0,0
307,L00307,L,301.8,312.0,2445,42.4,102,0,0,0,0,0,0
308,H00308,L,298.8,309.1,1335,47.5,88,0,0,0,0,0,0
309,H00309,L,298.2,310.7,1801,46.3,237,0,0,0,0,0,0
310,L00310,L,299.7,310.0,1316,31.9,102,0,0,0,0,0,0
311,L00311,L,300.0,308.5,1292,42.7,23,0,0,0,0,0,0
312,H00312,H,300.8,310.1,1642,34.2,21,0,0,0,0,0,0
313,H00313,H,302.9,310.6,1221,47.4,170,0,0,0,0,0,0
314,M00314,M,302.2,312.0,2517,48.4,178,0,0,0,0,0,0
315,H00315,L,302.6,309.5,1648,47.8,239,0,0,0,0,0,0
316,M00316,M,298.5,310.5,1296,55.0,176,0,0,0,0,0,0
317,M00317,H,299.4,310.3,2786,45.4,121,0,0,0,0,0,0
318,M00318,M,301.9,309.8,2674,55.5,237,1,0,0,0,0,0
319,M00319,L,302.4,309.9,2511,47.5,119,0,0,0,0,0,0
320,M00320,L,301.5,310.7,2258,33.3,21,0,0,0,0,0,0
321,L00321,L,298.9,309.9,2040,42.7,78,0,0,0,0,0,0
322,H00322,L,297.9,309.8,1956,51.1,17,0,0,0,0,0,0
323,M00323,M,300.5,309.5,1995,51.8,43,0,0,0,0,0,0
324,H00324,M,298.2,308.5,2316,36.2,108,0,0,0,0,0,0
325,H00325,L,300.9,310.9,2040,36.0,31,0,0,0,0,0,0
326,M00326,L,302.5,309.5,2484,46.7,185,0,0,0,0,0,0
327,L00327,L,300.4,311.2,2542,32.9,55,0,0,0,0,0,0
328,M00328,L,297.4,311.3,1962,38.6,227,0,0,0,0,0,0
329,L00329,L,299.0,312.4,2120,41.8,73,0,0,0,0,0,0
330,H00330,M,301.7,310.4,2614,39.2,8,0,0,0,0,0,0
331,L00331,L,300.9,310.6,1216,48.9,190,0,0,0,0,0,0
332,L00332,M,301.1,310.6,1987,48.2,235,0,0,0,0,0,0
333,L00333,L,303.5,310.3,2076,42.3,88,0,0,0,0,0,0
334,H00334,L,300.7,311.2,2707,29.5,120,0,0,0,0,0,0
335,H00335,L,300.6,309.9,1490,54.6,131,0,0,0,0,0,0
336,L00336,M,301.7,310.6,2851,33.0,37,0,0,0,0,0,0
337,L00337,L,297.7,309.9,1251,35.1,237,0,0,0,0,0,0
338,M00338,M,299.1,308.7,2487,32.3,99,0,0,0,0,0,0
339,L00339,L,298.5,310.7,2101,25.6,249,0,0,0,0,0,0
340,M00340,M,301.3,307.3,2283,50.3,41,0,0,0,0,0,0
341,L00341,M,298.2,310.5,2056,58.5,228,0,0,0,0,0,0
342,M00342,L,301.1,311.1,2605,27.7,230,0,0,0,0,0,0
343,H00343,M,299.6,310.6,1491,22.0,134,0,0,1,0,0,0
344,L00344,L,299.3,309.2,1977,41.7,169,0,0,0,0,0,0
345,L00345,M,301.8,311.5,2352,43.7,117,0,0,0,0,0,0
346,L00346,L,297.3,311.8,1828,18.8,59,0,0,0,0,0,0
347,L00347,L,299.0,310.7,1283,29.7,89,0,0,0,0,0,0
348,M00348,M,305.9,311.9,2203,53.3,147,0,0,0,0,0,0
349,L00349,M,303.7,312.1,2024,46.2,190,0,0,0,0,0,0
350,H00350,L,296.4,309.4,2646,53.3,236,0,0,1,0,0,0
351,H00351,M,299.0,309.1,2145,29.7,123,0,0,0,0,0,0
352,L00352,L,300.1,310.7,1534,40.1,124,0,0,0,0,0,0
353,H00353,L,297.2,306.9,1747,39.4,110,0,0,0,0,0,0
354,L00354,M,304.0,309.8,1158,50.8,20,0,0,0,0,0,0
355,L00355,L,300.1,309.3,1285,33.7,126,0,0,0,0,0,0
356,H00356,L,299.6,309.8,2463,35.0,132,0,0,0,0,0,0
357,L00357,M,300.8,308.8,2125,45.1,120,0,0,0,0,0,0
358,H00358,L,300.7,309.8,2128,47.9,29,0,0,0,0,0,0
359,M00359,M,298.3,310.6,2821,35.5,62,0,0,0,0,0,0
360,L00360,L,302.6,311.7,2825,42.4,239,0,0,0,0,0,0
361,M00361,L,300.3,310.5,1192,49.5,186,0,0,0,0,0,0
362,H00362,L,302.6,308.2,2278,43.2,37,0,0,0,0,0,0
363,M00363,M,298.8,310.1,2204,35.6,163,0,0,0,0,0,0
364,M00364,M,296.4,311.4,2855,43.1,37,0,0,0,0,0,0
365,H00365,L,302.9,309.8,2846,46.5,22,0,0,0,0,0,0
366,M00366,L,301.5,310.7,1936,40.8,150,0,0,0,0,0,0
367,M00367,H,302.3,311.2,2392,45.4,57,0,0,0,0,0,0
368,H00368,L,302.5,310.2,1262,49.6,175,0,0,0,0,0,0
369,M00369,M,300.0,310.4,1881,44.2,242,0,0,0,0,0,0
370,H00370,L,299.3,310.6,2433,48.7,133,0,0,0,0,0,0
371,M00371,M,299.8,309.6,1161,38.4,106,0,0,0,0,0,0
372,H00372,L,301.1,309.8,2644,35.2,173,0,0,0,0,0,0
373,H00373,M,300.6,309.1,2513,54.2,86,0,0,0,0,0,0
374,M00374,M,296.3,309.5,2021,17.6,142,0,0,0,0,0,0
